T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,S0,S1,S2,S3,S4,S5,S6,NF0,NF1,NF2,NF3,NF4,NF5,NF6,NF7,NF8,NF9,num_citations,Class
3,1,0,0,0,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,Fundamental
4,0,0,0,0,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,Fundamental
1,0,0,2,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,BackGround
2,2,0,0,2,7,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,2,BackGround
0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,BackGround
1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Fundamental
0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,2,BackGround
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,BackGround
1,0,1,1,0,5,3,2,2,2,2,0,0,1,0,0,1,0,0,0,1,0,0,1,2,0,0,0,1,BackGround
1,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Fundamental
2,0,0,0,0,6,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3,0,0,0,2,Fundamental
2,0,0,0,0,1,2,3,1,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,2,Fundamental
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,BackGround
1,0,0,0,0,3,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,BackGround
1,0,0,0,2,6,5,2,1,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,BackGround
2,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,Fundamental
1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Fundamental
2,0,0,0,0,2,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,4,0,0,0,1,Fundamental
1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,3,0,0,0,2,Fundamental
0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,BackGround
1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,BackGround
1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,2,Fundamental
1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,1,1,Fundamental
1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,BackGround
1,0,0,2,0,3,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,BackGround
0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,BackGround
1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Fundamental
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,NULL
4,1,0,1,0,3,2,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,2,BackGround
11,1,1,0,0,7,5,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Fundamental
1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,Fundamental
2,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,Fundamental
5,0,0,0,0,2,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,1,Fundamental
5,0,0,0,0,1,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,1,Fundamental
1,0,0,0,0,2,3,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Fundamental
4,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Fundamental
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,Fundamental
1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Fundamental
1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BackGround
3,0,0,1,0,2,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,BackGround
0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,BackGround
