T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,S0,S1,S2,S3,S4,S5,S6,same,similarity,Class
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,BackGround
3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0.0,Fundamental
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.21,BackGround
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,BackGround
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.0,BackGround
8,0,0,1,1,2,0,1,2,0,0,0,0,0,1,0,1,0,0,0.0,Fundamental
0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.0,BackGround
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,BackGround
2,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.14,BackGround
4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,Fundamental
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,BackGround
1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.13,BackGround
4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,Fundamental
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,BackGround
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.12,BackGround
2,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.12,BackGround
3,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0.2,BackGround
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,Fundamental
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0.0,Fundamental
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.37,Fundamental
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.37,Fundamental
2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.37,BackGround
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.0,BackGround
1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0.0,BackGround
2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.22,BackGround
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.38,Fundamental
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.38,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,BackGround
2,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,1,0,0,0.38,BackGround
2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0.38,BackGround
2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0.38,BackGround
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.38,BackGround
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.38,BackGround
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,Fundamental
1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0.13,BackGround
2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0.21,Fundamental
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Fundamental
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.12,Fundamental
1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.22,BackGround
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.22,Fundamental
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.24,BackGround
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,Fundamental
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09,BackGround
2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0.0,Fundamental
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.11,BackGround
1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0.11,BackGround
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,BackGround
3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0.18,Fundamental
